state,city,water_system,zip_code,zip_codes,pfas_type,concentration_ppt,epa_limit_ppt,exceeds_limit,population_served,system_size,pwsid
AK,"BARROW UTILITIES & ELEC. COOP., INC. (BU","BARROW UTILITIES & ELEC. COOP., INC. (BU",99723,99723,PFHxS,18.5,10.0,True,3300,S,AK2320078
AK,"BARROW UTILITIES & ELEC. COOP., INC. (BU","BARROW UTILITIES & ELEC. COOP., INC. (BU",99723,99723,PFOS,46.3,4.0,True,3300,S,AK2320078
AK,COLLEGE UTILITIES CORPORATION,COLLEGE UTILITIES CORPORATION,99701,99701|99705|99706|99707|99708|99709|99710|99711|99712|99716|99775,PFHxS,10.5,10.0,True,10000,L,AK2310900
AK,COLLEGE UTILITIES CORPORATION,COLLEGE UTILITIES CORPORATION,99701,99701|99705|99706|99707|99708|99709|99710|99711|99712|99716|99775,PFOA,6.4,4.0,True,10000,L,AK2310900
AK,FT WAINWRIGHT - MAIN POST,FT WAINWRIGHT - MAIN POST,99703,99703,PFHxS,4.3,10.0,False,10000,L,AK2310918
AK,GOLDEN HEART UTILITIES,GOLDEN HEART UTILITIES,99701,99701|99702|99705|99706|99707|99708|99709|99710|99711|99712|99714|99716|99767|99775|99790,PFHxS,8.8,10.0,False,10000,L,AK2310730
AK,GOLDEN HEART UTILITIES,GOLDEN HEART UTILITIES,99701,99701|99702|99705|99706|99707|99708|99709|99710|99711|99712|99714|99716|99767|99775|99790,PFOA,5.4,4.0,True,10000,L,AK2310730
AK,MOA MUNICIPALITY OF ANCHORAGE,MOA MUNICIPALITY OF ANCHORAGE,99501,99501|99502|99503|99504|99507|99508|99515|99516|99517|99567|99577,PFHxS,11.2,10.0,True,10000,L,AK2210906
AK,MOA MUNICIPALITY OF ANCHORAGE,MOA MUNICIPALITY OF ANCHORAGE,99501,99501|99502|99503|99504|99507|99508|99515|99516|99517|99567|99577,PFOA,9.1,4.0,True,10000,L,AK2210906
AK,UNIVERSITY OF ALASKA - FAIRBANKS,UNIVERSITY OF ALASKA - FAIRBANKS,99775,99775,PFHxS,5.7,10.0,False,3300,S,AK2310683
AK,WASILLA WATER SYSTEM,WASILLA WATER SYSTEM,99654,99654,PFHxS,4.2,10.0,False,10000,L,AK2224646
AL,ALABASTER WATER BOARD,ALABASTER WATER BOARD,35007,35007|35040|35080|35114|35115,PFBS,85.0,2000.0,False,10000,L,AL0001148
AL,ALABASTER WATER BOARD,ALABASTER WATER BOARD,35007,35007|35040|35080|35114|35115,PFHxS,3.4,10.0,False,10000,L,AL0001148
